,speaker,text,segment,number_of_letters,number_of_words,speaker_type,speech_order,tape,network,show,show_date
44,MCCONNELL," Yes, I'm very confident. The two appropriations committees are working on the bills on a bipartisan basis. We'll be talking to Senate Democrats. They will be relevant to this process. It will require 60 votes. I'm confident Senate Democrats are not going to want to shut down the government. They used to use that against us all the time. And I think it worked pretty effectively for them. And I can't imagine they would want to acquire the government shutdown label.",1,468.0,82.0,guest,39.0,0,Fox News,Fox News Sunday,2017-04-02
45,WALLACE," But, look, there's some argument, they'll say it's you, the Republicans, who could make the shutdown happen. There are a number of priorities that President Trump and other Republicans want that Democrats find unacceptable. I want to go through a couple of them with you, Senator. One and a half billion dollars to start building the wall with Mexico, a major defense spending increase and domestic spending cuts. And some House conservatives want defunding of Planned Parenthood. Question, are you prepared to risk a government shutdown over any of those issues?",1,564.0,92.0,host,40.0,0,Fox News,Fox News Sunday,2017-04-02
46,MCCONNELL," Look, we're going to negotiate all of those items in the context of this funding bill, which will fund the government through September 30. We'll be debating these issues again for next year's appropriations, we can start October 1. But we'll be able to work all that out. Nobody wants a government shutdown. I think the Senate Democrats know that every time we've had a government shutdown situation, it's been the Congress that's been blamed, and not the president. So I would advise President Trump, don't worry about them sticking that label on you. Congress owns the government shutdown brand. And there's no incentive, frankly, for either side to go to the brink. I think we're going to be able to work all this out later this month.",1,740.0,129.0,guest,41.0,0,Fox News,Fox News Sunday,2017-04-02
47,WALLACE," But just to push on one of them, because President Trump says he wants that $1.5 billion to start building the wall, you would not risk a government shutdown by insisting that be in a spending bill?",1,199.0,38.0,host,42.0,0,Fox News,Fox News Sunday,2017-04-02
48,,(LAUGHTER),1,,,,,0,Fox News,Fox News Sunday,2017-04-02
49,MCCONNELL," What I'm saying, Chris, is we're going to work all this out on a bipartisan basis. The Democrats will be fully involved in the discussion. So will the president. We'll work it out and avoid any kind of catastrophic event.",1,222.0,41.0,guest,43.0,0,Fox News,Fox News Sunday,2017-04-02
50,WALLACE," Senator McConnell, that's a helpful note on which to end. Thank you. Thanks for your time. It's always good to talk with you, sir.",1,131.0,25.0,host,44.0,0,Fox News,Fox News Sunday,2017-04-02
51,MCCONNELL, Thank you.,1,11.0,3.0,guest,45.0,0,Fox News,Fox News Sunday,2017-04-02
52,WALLACE," Up next, the man behind President Trump's sweeping effort to roll back Obama climate change policies, EPA chief, Scott Pruitt.",1,127.0,21.0,host,46.0,0,Fox News,Fox News Sunday,2017-04-02
53,,(COMMERCIAL BREAK),1,,,,,0,Fox News,Fox News Sunday,2017-04-02
54,WALLACE," A look at Nationals Park, where Washington's finest have opening day tomorrow for the baseball season. But, there will be no presidential first pitch as the White House declined an invitation.  Mr. Trump, who once called global warming a hoax, signed a sweeping executive order this week calling for regulators to rewrite President Obama's climate change policies.  Joining me now from Oklahoma is Scott Pruitt, Mr. Trump's new administrator for the Environmental Protection Agency.  Mr. Pruitt, welcome to ""Fox News Sunday."" ",2,527.0,86.0,host,47.0,0,Fox News,Fox News Sunday,2017-04-02
55,"SCOTT PRUITT, EPA ADMINISTRATOR"," Good morning, Chris. How are you? ",2,35.0,8.0,guest,48.0,0,Fox News,Fox News Sunday,2017-04-02
56,WALLACE," Good.  When the Obama EPA announced its Clean Power Plan, it said that the reduction in carbon pollution would have the following health benefits. I want to put them up on the screen.  By 2030, it said there would be 90,000 fewer asthma attacks a year, 300,000 fewer missed work and school days, and 3,600 fewer premature deaths a year.  Without the Clean Power Plan, how are you going to prevent those terrible things? ",2,421.0,79.0,host,49.0,0,Fox News,Fox News Sunday,2017-04-02
57,PRUITT," Well, Chris, I think what's important this past week is to recognize that the president is keeping his promise to the American people to rollback regulatory overreaches that have been occurring the last couple of years. And as you know, the Clean Power Plan is subject to a U.S. Supreme Court state. The steps have been taken by the EPA historically, they've equally been challenged several times with respective CO2 regulation. And each of those times the Supreme Court and courts have said that the power that has been used has been an overreach.  And so, the president is keeping his promise to deal with that overreach, Chris. It doesn't mean that clean air and clean water is not going to be the focus in the future. We're just going to do it right within the consistency of the framework that Congress has passed. Now, I think that's very important to recognize. ",2,870.0,155.0,guest,50.0,0,Fox News,Fox News Sunday,2017-04-02
58,WALLACE," But, sir, you're giving me a regulatory answer, a political answer. You’re not giving me a health answer. I talked about 90,000 fewer asthma attacks, 300,000 fewer missed days in school and work.  The Obama Clean Power Plan called -- said that carbon pollution from the power sector would be reduced by 30 percent. It would be one-third lower than it was in 2005.  Here's what the American Lung Association says, ""Half of all Americans now live in counties with unhealthy air."" You talk about all the regulatory overreach, but the question is, there are 166 million people living in unclean air and you are going to remove some of the pollution restrictions, which will make the air even worse. ",2,696.0,124.0,host,51.0,0,Fox News,Fox News Sunday,2017-04-02
59,PRUITT," Well, Chris, a couple things, we are actually pre-1994 levels with respect to our CO2 footprint. So, this country is doing far better than most across the globe. As you know, also since 1980, we've got a 65 percent reduction in those key air pollutants, SOx and NOx and particulate matter and ozone, while at the same time growing our economy.  I think what's happened the last several years is that we've adapted to and adopted this previous administration's views that if your pro-jobs and pro-growth, you can’t be pro-environment. If you’re pro-environment, you can’t be pro-growth and pro-jobs. And that simply is not the way we’ve done business as a country. ",2,665.0,115.0,guest,52.0,0,Fox News,Fox News Sunday,2017-04-02
60,WALLACE," But, sir -- ",2,13.0,5.0,host,53.0,0,Fox News,Fox News Sunday,2017-04-02
61,PRUITT," Now, the EPA had -- ",2,21.0,7.0,guest,54.0,0,Fox News,Fox News Sunday,2017-04-02
62,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
63,WALLACE," If I may, you are talking about these reductions, but even with those reductions, the fact is that according to the American Lung Association, which would have an interest in this, 166 million people are living in unsafe air. And if you do away with the Clean Power Plan and boost -- as the president promises -- coal production, then you’re going to make the air even worse. What about those 166 million people?",2,413.0,75.0,host,55.0,0,Fox News,Fox News Sunday,2017-04-02
64,PRUITT," Chris, I think what you are referring to is, we have about 40 percent of the country in non-attainment right now, those key air pollutants under our ambient air quality standards, which are outside of the CO2 discussion. And I agree wholeheartedly that we need to focus our attention at making sure we make progress there. In fact, that's one of the key priorities of the administration, is to improve air quality to be on the 60 percent attainment that we see.  That's not been a focal point over the last several years as much as it should be. So, I think -- ",2,562.0,106.0,guest,56.0,0,Fox News,Fox News Sunday,2017-04-02
65,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
66,WALLACE," And you think -- and let me just ask, and you think that rewriting, in effect, doing away with the Clean Power Plan is going to improve air quality which you say is a major goal? ",2,180.0,38.0,host,57.0,0,Fox News,Fox News Sunday,2017-04-02
67,PRUITT," Look -- look, Chris, I mean, I think what we have to keep in mind is that EPA only possesses authority that the Congress gets it. The EPA has tried twice to regulate CO2. One, with the tailoring rule, and the Supreme Court struck it down in the UR decision, and secondly, the Clean Power Plan that the president introduced in 2015, which is subject to a U.S. Supreme Court stay.  As much as we want to see progress made in clean air and clean water, with an understanding that we can also grow jobs, we had to do so within the framework of what Congress has passed. The tools have to be in a tool box.  The past administration just made it up. They re-imagined authority on a statute. There’s a commitment with the new administration to have a pro-growth, pro-environment approach to these issues, but also to respect rule of law.  You talked about many times, the regulatory overreach, about executive fiat that the previous administration engaged in. We can't continue that process because what happens, Chris, is clean air is not advanced because you have litigation such as the Clean Power Plan. You have stays of enforcement against that Clean Power Plan and there's no progress being made with clean air and we are also spending money on litigation. So -- ",2,1263.0,229.0,guest,58.0,0,Fox News,Fox News Sunday,2017-04-02
68,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
69,WALLACE," That goes both ways, sir, because the fact is, you are already in litigation on the attempt to reverse the Clean Power Plan. You are already getting sued on that. So, there’s litigation either way.  Let me -- let me pursue this issue, because President Trump is going to sit down this week with Chinese President Xi. And for years, American presidents have been pushing Chinese leaders to improve greenhouse gas emissions, to reverse them. Are you comfortable seeing the roles were reversed this week where it will now be the Chinese president pushing President Trump to cut down on pollution? ",2,595.0,104.0,host,59.0,0,Fox News,Fox News Sunday,2017-04-02
70,PRUITT," Look, I mean, Chris, it's quite -- when you look at what happened in Paris, at the Paris agreement and Paris accord, China and India weren't required to take any steps toward reduction of CO2 until the year 2030. That discussion, to think that China and India are more committed to the CO2 reduction in this country I think is quite -- quite false. ",2,350.0,66.0,guest,60.0,0,Fox News,Fox News Sunday,2017-04-02
71,WALLACE," Well, can I -- ",2,16.0,6.0,host,61.0,0,Fox News,Fox News Sunday,2017-04-02
72,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
73,PRUITT," As I indicated earlier, we are pre-1994 levels, and do you know why? Largely because of innovation and technology, hydraulic fracturing and horizontal drilling, because there's been a conversion to natural gas in the generation of electricity. And what's important, Chris, in my view is that utility companies across this country that are generating electricity, you ought not have the regulator in Washington, D.C., in this instances the EPA picking winners and lawyers, saying to the American people that we’re going to be anti-coal, anti-fossil fuel as we generate electricity. That's bad for America.  Fuel diversity is very important. We have shown leadership. As I’ve indicated, we've made great progress with air quality since 1980. We made progress in the CO2 reduction side as well, at the same time, growing jobs. And so -- ",2,835.0,137.0,guest,62.0,0,Fox News,Fox News Sunday,2017-04-02
74,WALLACE, If I may -- ,2,13.0,6.0,host,63.0,0,Fox News,Fox News Sunday,2017-04-02
75,PRUITT, -- we have nothing to be apologetic about as a country. And the neither does the president (ph).,2,97.0,19.0,guest,64.0,0,Fox News,Fox News Sunday,2017-04-02
76,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
77,WALLACE," Well -- I’m sorry, say that again? ",2,36.0,9.0,host,65.0,0,Fox News,Fox News Sunday,2017-04-02
78,PRUITT," We have nothing to be apologetic about as with respect to leadership that we’ve shown as a country with respect to these key issues. And the president doesn't either. He shown great leadership and pro-growth, pro-jobs, and pro-environment, and we can do both. ",2,261.0,45.0,guest,66.0,0,Fox News,Fox News Sunday,2017-04-02
79,WALLACE," Well, let me ask a specific question on that. You talk about the Paris Accords, which do call for reductions by China and other countries by 2030. And, in fact, China has already begun reducing its carbon emissions from coal power plants as you well. President Xi in January said that the Paris Climate Accord should remain enforced. As the chief environmental officer for the Trump administration, can you make the same commitment to the Paris climate accords? ",2,463.0,80.0,host,67.0,0,Fox News,Fox News Sunday,2017-04-02
80,PRUITT," Engagement internationally is very important. To demonstrate the leadership that we have shown on this issue with China and India and other nations is very important. Those discussions should ensue.  But what Paris represents is bad deal for this country. We frontloaded our costs. China and India backloaded theirs. That caused a contraction in our economy.  Look, we've shown leadership on this issue in the key way, Chris, and we’re going to continue that. ",2,461.0,78.0,guest,68.0,0,Fox News,Fox News Sunday,2017-04-02
81,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
82,WALLACE," Sir, the point is that the president is more committed to Paris than the United States is. ",2,92.0,19.0,host,69.0,0,Fox News,Fox News Sunday,2017-04-02
83,PRUITT," But is he more committed in action and deed? And the answer is no.  We've demonstrated through the steps we’ve taken already, the pre-1994 levels, because of that technology. We can burn coal in clean fashion. We shouldn't have this commitment by the U.S. government to say that fossil fuels are bad. Renewables are good.  The U.S. EPA and the U.S. government should not pick winners and losers, Chris. And that's what happened in the last several years. ",2,456.0,82.0,guest,70.0,0,Fox News,Fox News Sunday,2017-04-02
84,WALLACE, You had a famous -- ,2,21.0,7.0,host,71.0,0,Fox News,Fox News Sunday,2017-04-02
85,PRUITT, And we demonstrated that leadership. ,2,38.0,7.0,guest,72.0,0,Fox News,Fox News Sunday,2017-04-02
86,WALLACE," I’m sorry to rush you along, but we do have limited time, sir. I say respectively. You had a famous exchange a couple of months ago -- actually last month that I would like to play right now. ",2,193.0,40.0,host,73.0,0,Fox News,Fox News Sunday,2017-04-02
87,,(BEGIN VIDEO CLI),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
88,"JOE KERNER, CNBC ANCHOR", Do you believe that it's been proven that CO2 is the primary control knob for climate? Do you believe that? ,2,109.0,22.0,guest,74.0,1,Fox News,Fox News Sunday,2017-04-02
89,PRUITT," No, I would not agree that it's the primary contributor to the global warming that we’re seeing. ",2,98.0,19.0,guest,75.0,1,Fox News,Fox News Sunday,2017-04-02
90,,(END VIDEO CLIP),2,,,,,1,Fox News,Fox News Sunday,2017-04-02
91,WALLACE," Mr. Pruitt, there are all kinds of studies that contradict you. The U.N.’s panel on climate change says it is at least 95 percent likely that more than half the temperature increase since the mid-20th century is due to human activities. NOAA, that’s our own, National Oceanic and Atmospheric Administration, says there's more carbon dioxide now than in the last 400,000 years, and NOAA says 2015 and 2016 are the two hottest years on record.  Mr. Pruitt, are we supposed to believe that that's all a coincidence? ",2,514.0,90.0,host,76.0,0,Fox News,Fox News Sunday,2017-04-02
92,PRUITT," No, look, Chris, I said to the process -- in my confirmation process, individual senators as well, that there's a warming trend, the climate is changing. And human activity contributes to the change in some measure.  The real issue is how much we contribute to it and measuring that with precision. But then also, what is the process as far as response, what can we do about it, the tools in the toolbox to address the CO2 issue? And you can’t just simply, from the EPA perspective, make that up. You can't do with the president did previously with the Clean Power Plan, President Obama, and his administration, to simply re-imagine authority. That's why we have a U.S. Supreme Court stay against the Clean Power Plan. That's why President Trump is dealing with that regulatory overreach and charting a new path forward to deal with these issues within the framework of Clean Air Act. ",2,886.0,157.0,guest,77.0,0,Fox News,Fox News Sunday,2017-04-02
93,WALLACE," But, sir, you are kind of sugarcoating what you said. You said there, I would not agree that carbon -- CO2 is a primary contributor to global warming. And the question I have is, what if you are wrong? What if, in fact, the earth is warming? What if it is causing dramatic climate change and that we as humans through carbon emissions are contributing to it?  Simple question, what if you’re wrong? ",2,400.0,76.0,host,78.0,0,Fox News,Fox News Sunday,2017-04-02
94,PRUITT," Look, let me say to you, CO2 contributes to greenhouse gas, it has a greenhouse gas effect and global warming, as methane does and other types of gases. The issue is, how much we contribute to it from the human activity perspective and what can be done about it from a process perspective, Chris. ",2,298.0,56.0,guest,79.0,0,Fox News,Fox News Sunday,2017-04-02
95,WALLACE," But don't you think the fact that we have these coal power plants belching carbon emissions into the air, you don't think that had -- plays a role? ",2,149.0,30.0,host,80.0,0,Fox News,Fox News Sunday,2017-04-02
96,PRUITT," I think that we've done it better than anybody in the world at burning coal clean, in a clean fashion. The innovative and technological advances that we've seen along with natural gas production and generating electricity, it all contributed to a CO2 footprint that’s pre-1994.  Again, we have done better than anybody in the world, and growing our economy and also being a good steward of our environment. We have nothing to be apologetic about. We’re going to operate within the framework of the Clean Air Act to deal with these issues and make sure that we advance clean air, clean water, not just with this respect to CO2, but with those key air pollutants under the ambient air quality standard program that we have. ",2,723.0,128.0,guest,81.0,0,Fox News,Fox News Sunday,2017-04-02
97,WALLACE," Let me ask you one -- let me ask you one's last question, and again I apologize, sir. Because it goes to the whole question of commitment to trying to improve the environment. Under the president's new budget, the EPA is cut 31 percent, that is more than any other agency.  And I want to put up some of the cuts that are included in the president's budget. Here are some of the 56 programs that would be scrapped: Great Lakes restoration, water runoff control for farmers, pesticide safety.  What does that say about the commitment of this administration and you to cleaning up the environment when you're making a 31 percent cut in your agency and cutting things like that, water runoffs for farmers? ",2,703.0,129.0,host,82.0,0,Fox News,Fox News Sunday,2017-04-02
98,PRUITT," Well, part of -- part of the issue, Chris, is that over the last several years, there has been a lack of commitment to state partnership. You know, we have state Departments of Environmental Quality across the country have the resources and the expertise to deal with clean water and clean air issues. And so, renewing that partnership -- ",2,340.0,61.0,guest,83.0,0,Fox News,Fox News Sunday,2017-04-02
99,,(CROSSTALK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
100,WALLACE," Are you sure they are going to pick up the slack and might water safety, water runoff, and pesticide safety, and Great Lakes restoration, might that all just go by the wayside? ",2,178.0,34.0,host,84.0,0,Fox News,Fox News Sunday,2017-04-02
101,PRUITT," I’ve met with several governors, in fact within the first week of being on the job, I met with 20-plus governors. And those governors across the country are committed to pro-jobs and pro-environment. They have to serve their people in those states as well. And I will tell you this, Chris, this attitude in Washington, D.C., that people in Texas and Oklahoma and Kansas and Colorado and the rest of the country don't care about the water they drink or the air they breathe and are not going to take care of the air and the water locally and states, I just don't believe that. That narrative is something we reject and we look forward to partnering with states across the country to achieve good outcomes. ",2,706.0,128.0,guest,85.0,0,Fox News,Fox News Sunday,2017-04-02
102,WALLACE," Mr. Pruitt, thank you. Thanks for joining us. Please come back. It's an important conversation and we’d love to continue it with you, sir. ",2,140.0,26.0,host,86.0,0,Fox News,Fox News Sunday,2017-04-02
103,PRUITT," Thanks, Chris. ",2,16.0,4.0,guest,87.0,0,Fox News,Fox News Sunday,2017-04-02
104,WALLACE, Up next we’ll bring in our Sunday group to discuss the growing Russia controversy. The Trump team says the real scandal is what the Obama administration did.,2,158.0,28.0,host,88.0,0,Fox News,Fox News Sunday,2017-04-02
105,,(COMMERCIAL BREAK),2,,,,,0,Fox News,Fox News Sunday,2017-04-02
106,WALLACE," Coming up, the battle to confirm the president’s Supreme Court nominee, Judge Neil Gorsuch, next week. ",3,104.0,18.0,host,89.0,0,Fox News,Fox News Sunday,2017-04-02
107,,(BEGIN VIDEO CLIP),3,,,,,0,Fox News,Fox News Sunday,2017-04-02
108,"SEN. CHUCK SCHUMER, D-NY, MINORITY LEADER"," If the nuclear option is involved, it's because our Republicans in the Senate chose to do so. ",3,95.0,19.0,guest,90.0,1,Fox News,Fox News Sunday,2017-04-02
109,,(END VIDEO CLIP),3,,,,,1,Fox News,Fox News Sunday,2017-04-02
110,WALLACE," We’ll ask our panel about the threat of a Democratic filibuster, coming up on ""Fox News Sunday.""",3,97.0,18.0,host,91.0,0,Fox News,Fox News Sunday,2017-04-02
111,,(COMMERCIAL BREAK),3,,,,,0,Fox News,Fox News Sunday,2017-04-02
112,,(BEGIN VIDEO CLIP),4,,,,,0,Fox News,Fox News Sunday,2017-04-02
113,SPICER," And it should be very concerned to people that an administration or people in an administration, people serving in government who are providing classified information, who are given clearance in the trust of the United States government, misused, mishandled, and potentially did some very, very bad things with classified information. ",4,336.0,52.0,guest,92.0,1,Fox News,Fox News Sunday,2017-04-02
114,,(END VIDEO CLIP),4,,,,,1,Fox News,Fox News Sunday,2017-04-02
115,WALLACE," White House spokesman Sean Spicer pushing back on reporters’ questions about the Trump campaign and Russia, saying the real focus should be on the Obama administration's leak of classified information about the Trump transition.  And it’s time now for our Sunday group. Laura Ingraham, editor of Lizette and a Fox News political analyst, Gerald Seib from The Wall Street Journal, Julie Pace, who covers the White House for the Associated Press, and former national security council staffer Gillian Turner. Well, Laura, the president and his team dug in deeper this week on this whole Russia scandal and their argument now is that the Obama administration surveilled the Trump team and then spread that classified information for political purposes. Is this helping or hurting the White House? ",4,794.0,129.0,host,93.0,0,Fox News,Fox News Sunday,2017-04-02
116,"LAURA INGRAHAM, FOX NEWS POLITICAL ANALYST"," Well, I think they know that as long as this investigation goes on, the harder it is for them to push on a number of fronts their domestic agenda, foreign policy, because I think a lot of folks do believe that the Russia focus is meant in part to delegitimize the presidency of Donald Trump. So when Sean Spicer makes that point, I think he's right, if -- if Grassley’s letter that he sent -- Charles Grassley sent a letter a few days ago --",4,442.0,86.0,guest,94.0,0,Fox News,Fox News Sunday,2017-04-02
117,WALLACE, Senator Grassley.,4,18.0,3.0,host,95.0,0,Fox News,Fox News Sunday,2017-04-02
118,INGRAHAM," Yes, Senator Grassley, who you don't want to tangle with. I mean when he -- when he -- he’s like a dog on a bone when he gets on an issue. He sent a letter to the FBI about Andrew McCabe, who’s the number two person at the FBI. Andrew McCabe’s wife received $700,000 in political contributions arranged and facilitated by none other than Clinton friend Terry McAuliffe. And his concern is that all documents that are -- be preserved, all communications better be turned over about what Andrew McCabe knew and when he knew it about the unmasking of individuals who were surveilled during the Trump transition, or during the Trump campaign. If it turns out, at the end of all of this, that the FBI and our intelligence agency have turned into partisan political operations with an agenda, then Republicans and Democrats should be very concerned. If it all turns out this is just a routine investigation, the Trump administration will have egg on its face. But I have a feeling that we’re going to find out a lot more about who was involved in the unmasking and who -- who had an agenda. ",4,1086.0,198.0,guest,96.0,0,Fox News,Fox News Sunday,2017-04-02
119,WALLACE," Well, speaking about finding out a lot more, Julie, with Devin Nunes, the chair of the House Intelligence Committee, who indicated that he got information about surveillance and unmasking from an outsider. Take a look. ",4,220.0,37.0,host,97.0,0,Fox News,Fox News Sunday,2017-04-02
120,,(BEGIN VIDEO CLIP),4,,,,,0,Fox News,Fox News Sunday,2017-04-02
121,"REP. DEVIN NUNES, R-CALI., CHAIR, HOUSE INTELLIGENCE COMMITTEE", Sources and methods are -- are kept very confidential. We -- we invite whistleblowers to come forward.,4,103.0,18.0,guest,98.0,1,Fox News,Fox News Sunday,2017-04-02
122,QUESTION, What did you have to go to the White House to brief them? Shouldn’t they be (INAUDIBLE)? Shouldn’t the administration be briefing you?,4,135.0,24.0,guest,99.0,1,Fox News,Fox News Sunday,2017-04-02
123,NUNES," The administration, I don't think, is aware of this. So I want to make sure that I go over there and tell them what I know. Because it -- because it involves them. ",4,165.0,35.0,guest,100.0,1,Fox News,Fox News Sunday,2017-04-02
124,,(END VIDEO CLIP),4,,,,,1,Fox News,Fox News Sunday,2017-04-02
125,WALLACE," But as the week went on, it became clear that officials at the president's own National Security Council, inside the White House, were deeply involved in this, which raises the question, are to, are the president, and his team, and Devin Nunes all working together to protect Trump? ",4,284.0,50.0,host,101.0,0,Fox News,Fox News Sunday,2017-04-02
126,"JULIE PACE, THE ASSOCIATED PRESS"," And I think it's important to note that even before Nunes came out and said he had received this new information, there were officials in the White House that were telling reporters, you should really be focused on the issue of improper unmasking. This is where we think the real story is. And then suddenly Devin Nunes shows up and says he's received information on exactly that topic.  Look, if there is on improper unmasking -- improper unmasking of Trump officials for political reasons --",4,494.0,87.0,guest,102.0,0,Fox News,Fox News Sunday,2017-04-02
127,WALLACE," You -- unmasking means identification. Basically that there was -- there was surveillance of -- of people -- it may have not even been an American. It may have been foreigners. In fact, that’s what it’s thought, and they’re talking about Americans and they’re supposed to say American person one American person two. If it becomes clear American person one is Donald Trump, you're not supposed to say that. ",4,408.0,71.0,host,103.0,0,Fox News,Fox News Sunday,2017-04-02
128,PACE," You’re not supposed to say that, though if you talk to intelligence professionals they say when you are talking about someone like the president, or the president’s national security advisor, their identity becomes almost impossible to reveal just based on the nature of the conversation. If there was improper handling of classified information, if it was spread improperly throughout the government, that’s a real concern. But the White House and Nunes aren't doing themselves any favors when they try to cover up how this information is getting into the House Intelligence chairman’s hands.",4,594.0,94.0,guest,104.0,0,Fox News,Fox News Sunday,2017-04-02
129,WALLACE," Gillian, as someone who worked in the National Security Council, both in the Bush 43 administration and in the Obama administration, how unusual for officials in the National Security Council to get involved in such a partisan -- actively partisan issue, and also for the former national security advisor, Michael Flynn, to seek immunity from criminal prosecution in return for testifying? And -- and along those lines, I want to point out, here's what Mr. Flynn and Donald Trump said during the campaign about the fact that Clinton campaign officials got immunity in the e-mail investigation. Here it is.",4,606.0,100.0,host,105.0,0,Fox News,Fox News Sunday,2017-04-02
130,,(BEGIN VIDEO CLIP),4,,,,,0,Fox News,Fox News Sunday,2017-04-02
131,"MICHAEL FLYNN, FORMER NATIONAL SECURITY ADVISER"," When you are given immunity, that means that you probably committed a crime. ",4,78.0,15.0,guest,106.0,1,Fox News,Fox News Sunday,2017-04-02
132,TRUMP," And if you’re not guilty of a crime, what do you need immunity for, right? ",4,76.0,17.0,guest,107.0,1,Fox News,Fox News Sunday,2017-04-02
133,,(END VIDEO CLIP),4,,,,,1,Fox News,Fox News Sunday,2017-04-02
134,WALLACE, And now President Trump is supporting immunity for Michael Flynn. ,4,67.0,12.0,host,108.0,0,Fox News,Fox News Sunday,2017-04-02
135,"GILLIAN TURNER, FOX NEWS CONTRIBUTOR"," Yes. Which the whole situation, the whole scenario is highly unusual. But I would say this, that this story, especially with Nunes' involvement, it's like an onion where every day we’re peeling back more and more layers. And we could kind of go back and forth for infinity on who checked into the White House when and when they left and who talked to who. But at the core of the story remain two issues, two national security issues. One is the leaking of classified information to include the surveillance issue. The other is potential Russian attempted interference in the United States’ general election. Now, both of these issues are very more important than the politics surrounding them, by which I mean they both have implications for American national defense. And, by the way, they both spanned two presidential administrations at this point. People will push back and say, but there's no evidence of collusion between the Trump campaign team and Russia in the -- in the general election. And that's fine and that's true. But I actually argue that that makes an investigation, a really thorough investigation about Russian efforts, more important because it means that whatever they were able to -- wherever they were able to get to, anything that achieved, they did on their own. Isn't that more compelling? ",4,1319.0,224.0,guest,109.0,0,Fox News,Fox News Sunday,2017-04-02
136,WALLACE," Well, we don't know that. I mean that's one of the things and as -- as FBI Director Come said in the House hearing, he said that he -- they are currently investigating Russia and also the possibility of Trump campaign involvement.  Gerry, you and I have covered a lot of scandals, too many scandals in this town. What stands out for you about this one? ",4,354.0,69.0,host,110.0,0,Fox News,Fox News Sunday,2017-04-02
137,"GERALD F. SEIB, THE WALL STREET JOURNAL"," Well, never a scandal like this. I mean this is singular. I’ve never seen anything like this. I think what stands out is the fact that you have basic -- core intelligence issues being discussed so publicly and so openly either. I'm not sure that's in anybody's best interest. And I'm not sure it's in the White House interest to have it go on for infinity. I wonder if the White House wouldn’t be better served if the -- everybody could just turn down the volume and figure out how we’re going to get to the bottom of both of these questions, surveillance and Russian meddling.  And I think the one thing that happened this week was he got a glimpse that maybe there's one place where that can happen, and that's the Senate Intelligence Committee, where you had, you know, two senators, Senator Burr on the Republican side, and Senator Warner on the Democratic side --",4,869.0,159.0,guest,111.0,0,Fox News,Fox News Sunday,2017-04-02
138,WALLACE, The two chairs.,4,16.0,4.0,host,112.0,0,Fox News,Fox News Sunday,2017-04-02
139,SEIB," The two chairs, the chair and the ranking member, come out, have a press conference and then an initial hearing in which they look like adults, responsible adults, an actual bipartisan effort that might answer some of these questions in a way that's credible and believable and that maybe will make this all go away eventually.",4,328.0,57.0,guest,113.0,0,Fox News,Fox News Sunday,2017-04-02
140,WALLACE, Eventually. ,4,13.0,3.0,host,114.0,0,Fox News,Fox News Sunday,2017-04-02
141,SEIB, Eventually.,4,12.0,2.0,guest,115.0,0,Fox News,Fox News Sunday,2017-04-02
142,WALLACE," The emphasis on the word ""eventually."" All right, we have to take a break here. When we come back, we’ll discuss the president's war with the conservative Freedom Caucus following his defeat on Obamacare repeal and replace.  Plus, what would you like to ask the panel about the growing divide inside the GOP. Just go to Facebook or Twitter, @foxnewssunday and we may use your question on the air. ",4,398.0,72.0,host,116.0,0,Fox News,Fox News Sunday,2017-04-02
143,,(COMMERCIAL BREAK),4,,,,,0,Fox News,Fox News Sunday,2017-04-02
144,,(BEGIN VIDEO CLIP),5,,,,,0,Fox News,Fox News Sunday,2017-04-02
145,MCCONNELL, We’re going to get Judge Gorsuch confirmed. It will be an opportunity for the Democrats to invoke closure. We’ll see where that ends. ,5,135.0,25.0,guest,117.0,1,Fox News,Fox News Sunday,2017-04-02
146,SCHUMER," If Judge Gorsuch fails to garner 60 votes, the answer isn't to irrevocably change the rules of the Senate, the answer is to change the nominee. ",5,145.0,28.0,guest,118.0,1,Fox News,Fox News Sunday,2017-04-02
147,,(END VIDEO CLIP),5,,,,,1,Fox News,Fox News Sunday,2017-04-02
148,WALLACE," Senate Minority Leader Mitch McConnell and Democratic Leader Chuck Schumer both showing no signs of blinking in the showdown over the nomination of Judge Neil Gorsuch to the Supreme Court.  And we’re back now with the panel. Well, Laura is our resident Supreme Court watcher and a former Supreme Court clerk under Clarence Thomas. And I'm not taking sides here, I’m just really asking, because it just gets worse and worse and worse, is there winning -- any way out for these just ever more partisan wars, and what do you think -- and I'm not saying this is the fault of one side or the other, about the fact that we’re -- it looks like this week we’re going to see a part of the institution of the Senate change and turning more into the House where it doesn't take a bipartisan majority of 60, 51 votes, a simple majority, can decide any nomination. ",5,853.0,158.0,host,119.0,0,Fox News,Fox News Sunday,2017-04-02
